=============> 2023-04-12 15:54:53 weatherCode = 1 placeCode = 4 rod grade = 2 <=============
0 2023-04-12 15:55:06 fishing time: 13200 ms waiting time: 8078 ms getLegendFish: undefined full: undefined
1 2023-04-12 15:55:25 fishing time: 18882 ms waiting time: 13759 ms getLegendFish: undefined full: undefined
2 2023-04-12 15:55:35 fishing time: 9988 ms waiting time: 4879 ms getLegendFish: undefined full: undefined
3 2023-04-12 15:55:46 fishing time: 10800 ms waiting time: 5689 ms getLegendFish: undefined full: undefined
=============> 2023-04-12 15:57:23 weatherCode = 1 placeCode = 4 rod grade = 2 <=============
0 2023-04-12 15:57:34 fishing time: 11864 ms waiting time: 6744 ms getLegendFish: undefined full: undefined
1 2023-04-12 15:57:47 fishing time: 12999 ms waiting time: 7880 ms getLegendFish: undefined full: undefined
2 2023-04-12 15:57:59 fishing time: 11819 ms waiting time: 6697 ms getLegendFish: undefined full: undefined
3 2023-04-12 15:58:13 fishing time: 13334 ms waiting time: 8227 ms getLegendFish: undefined full: undefined
4 2023-04-12 15:58:24 fishing time: 10995 ms waiting time: 5874 ms getLegendFish: undefined full: undefined
5 2023-04-12 15:58:34 fishing time: 10338 ms waiting time: 5229 ms getLegendFish: undefined full: undefined
6 2023-04-12 15:58:43 fishing time: 9433 ms waiting time: 4323 ms getLegendFish: undefined full: undefined
7 2023-04-12 15:58:57 fishing time: 13897 ms waiting time: 8789 ms getLegendFish: undefined full: undefined
8 2023-04-12 15:59:10 fishing time: 12332 ms waiting time: 7222 ms getLegendFish: undefined full: undefined
9 2023-04-12 15:59:21 fishing time: 11365 ms waiting time: 6257 ms getLegendFish: undefined full: undefined
10 2023-04-12 15:59:33 fishing time: 11999 ms waiting time: 6889 ms getLegendFish: undefined full: undefined
11 2023-04-12 15:59:47 fishing time: 13918 ms waiting time: 8806 ms getLegendFish: undefined full: undefined
12 2023-04-12 15:59:56 fishing time: 9098 ms waiting time: 3987 ms getLegendFish: undefined full: undefined
13 2023-04-12 16:00:10 fishing time: 13683 ms waiting time: 8573 ms getLegendFish: undefined full: undefined
14 2023-04-12 16:00:19 fishing time: 9448 ms waiting time: 4338 ms getLegendFish: undefined full: undefined
15 2023-04-12 16:00:35 fishing time: 15531 ms waiting time: 10423 ms getLegendFish: undefined full: undefined
16 2023-04-12 16:00:48 fishing time: 12852 ms waiting time: 7741 ms getLegendFish: undefined full: undefined
17 2023-04-12 16:01:01 fishing time: 13925 ms waiting time: 8805 ms getLegendFish: undefined full: undefined
18 2023-04-12 16:01:13 fishing time: 11371 ms waiting time: 6262 ms getLegendFish: undefined full: undefined
19 2023-04-12 16:01:26 fishing time: 13176 ms waiting time: 8056 ms getLegendFish: undefined full: undefined
20 2023-04-12 16:01:41 fishing time: 14504 ms waiting time: 9395 ms getLegendFish: undefined full: undefined
21 2023-04-12 16:01:51 fishing time: 10234 ms waiting time: 5124 ms getLegendFish: undefined full: undefined
22 2023-04-12 16:02:01 fishing time: 10482 ms waiting time: 5372 ms getLegendFish: undefined full: undefined
23 2023-04-12 16:02:12 fishing time: 11148 ms waiting time: 6038 ms getLegendFish: undefined full: undefined
24 2023-04-12 16:02:23 fishing time: 10866 ms waiting time: 5757 ms getLegendFish: undefined full: undefined
25 2023-04-12 16:02:35 fishing time: 12149 ms waiting time: 7040 ms getLegendFish: undefined full: undefined
26 2023-04-12 16:02:48 fishing time: 12233 ms waiting time: 7124 ms getLegendFish: undefined full: undefined
27 2023-04-12 16:02:57 fishing time: 9435 ms waiting time: 4323 ms getLegendFish: undefined full: undefined
28 2023-04-12 16:03:07 fishing time: 10395 ms waiting time: 5287 ms getLegendFish: undefined full: undefined
29 2023-04-12 16:03:19 fishing time: 11301 ms waiting time: 6192 ms getLegendFish: undefined full: undefined
30 2023-04-12 16:03:29 fishing time: 10448 ms waiting time: 5340 ms getLegendFish: undefined full: undefined
31 2023-04-12 16:03:42 fishing time: 13132 ms waiting time: 8024 ms getLegendFish: undefined full: undefined
32 2023-04-12 16:03:53 fishing time: 10968 ms waiting time: 5858 ms getLegendFish: undefined full: undefined
33 2023-04-12 16:04:04 fishing time: 11130 ms waiting time: 6021 ms getLegendFish: undefined full: undefined
34 2023-04-12 16:04:16 fishing time: 11300 ms waiting time: 6192 ms getLegendFish: undefined full: undefined
35 2023-04-12 16:04:29 fishing time: 12816 ms waiting time: 7708 ms getLegendFish: undefined full: undefined
36 2023-04-12 16:04:43 fishing time: 14201 ms waiting time: 9089 ms getLegendFish: undefined full: undefined
37 2023-04-12 16:04:54 fishing time: 11233 ms waiting time: 6123 ms getLegendFish: undefined full: undefined
38 2023-04-12 16:05:06 fishing time: 11581 ms waiting time: 6472 ms getLegendFish: undefined full: undefined
39 2023-04-12 16:05:15 fishing time: 9483 ms waiting time: 4374 ms getLegendFish: undefined full: undefined
40 2023-04-12 16:05:25 fishing time: 9568 ms waiting time: 4457 ms getLegendFish: undefined full: undefined
41 2023-04-12 16:05:35 fishing time: 10780 ms waiting time: 5671 ms getLegendFish: undefined full: undefined
42 2023-04-12 16:05:50 fishing time: 14850 ms waiting time: 9740 ms getLegendFish: undefined full: undefined
43 2023-04-12 16:06:00 fishing time: 9259 ms waiting time: 4138 ms getLegendFish: undefined full: undefined
44 2023-04-12 16:06:10 fishing time: 10788 ms waiting time: 5678 ms getLegendFish: undefined full: undefined
45 2023-04-12 16:06:22 fishing time: 12050 ms waiting time: 6941 ms getLegendFish: undefined full: undefined
46 2023-04-12 16:06:37 fishing time: 14910 ms waiting time: 9789 ms getLegendFish: undefined full: undefined
47 2023-04-12 16:06:51 fishing time: 13289 ms waiting time: 8179 ms getLegendFish: undefined full: undefined
48 2023-04-12 16:07:03 fishing time: 12507 ms waiting time: 7390 ms getLegendFish: undefined full: undefined
49 2023-04-12 16:07:18 fishing time: 14607 ms waiting time: 9498 ms getLegendFish: undefined full: undefined
50 2023-04-12 16:07:28 fishing time: 10346 ms waiting time: 5224 ms getLegendFish: undefined full: undefined
51 2023-04-12 16:07:40 fishing time: 12437 ms waiting time: 7327 ms getLegendFish: undefined full: undefined
52 2023-04-12 16:07:50 fishing time: 9412 ms waiting time: 4287 ms getLegendFish: undefined full: undefined
53 2023-04-12 16:08:02 fishing time: 12005 ms waiting time: 6894 ms getLegendFish: undefined full: undefined
54 2023-04-12 16:08:12 fishing time: 10297 ms waiting time: 5189 ms getLegendFish: undefined full: undefined
55 2023-04-12 16:08:24 fishing time: 12076 ms waiting time: 6958 ms getLegendFish: undefined full: undefined
56 2023-04-12 16:08:40 fishing time: 15624 ms waiting time: 10514 ms getLegendFish: undefined full: undefined
57 2023-04-12 16:08:54 fishing time: 14164 ms waiting time: 9054 ms getLegendFish: undefined full: undefined
58 2023-04-12 16:09:09 fishing time: 14783 ms waiting time: 9674 ms getLegendFish: undefined full: undefined
59 2023-04-12 16:09:19 fishing time: 10617 ms waiting time: 5505 ms getLegendFish: undefined full: undefined
60 2023-04-12 16:09:35 fishing time: 15348 ms waiting time: 10238 ms getLegendFish: undefined full: undefined
61 2023-04-12 16:09:49 fishing time: 13883 ms waiting time: 8772 ms getLegendFish: undefined full: undefined
62 2023-04-12 16:10:01 fishing time: 11934 ms waiting time: 6822 ms getLegendFish: undefined full: undefined
63 2023-04-12 16:10:13 fishing time: 12414 ms waiting time: 7306 ms getLegendFish: undefined full: undefined
64 2023-04-12 16:10:22 fishing time: 9167 ms waiting time: 4057 ms getLegendFish: undefined full: undefined
65 2023-04-12 16:10:37 fishing time: 15249 ms waiting time: 10137 ms getLegendFish: undefined full: undefined
66 2023-04-12 16:10:48 fishing time: 10967 ms waiting time: 5856 ms getLegendFish: undefined full: undefined
67 2023-04-12 16:11:00 fishing time: 11747 ms waiting time: 6637 ms getLegendFish: undefined full: undefined
68 2023-04-12 16:11:12 fishing time: 11727 ms waiting time: 6607 ms getLegendFish: undefined full: undefined
69 2023-04-12 16:11:23 fishing time: 11087 ms waiting time: 5979 ms getLegendFish: undefined full: undefined
70 2023-04-12 16:11:36 fishing time: 12695 ms waiting time: 7574 ms getLegendFish: undefined full: undefined
71 2023-04-12 16:11:51 fishing time: 15705 ms waiting time: 10594 ms getLegendFish: undefined full: undefined
72 2023-04-12 16:12:02 fishing time: 10364 ms waiting time: 5255 ms getLegendFish: undefined full: undefined
73 2023-04-12 16:12:14 fishing time: 11948 ms waiting time: 6840 ms getLegendFish: undefined full: undefined
74 2023-04-12 16:12:25 fishing time: 10784 ms waiting time: 5674 ms getLegendFish: undefined full: undefined
75 2023-04-12 16:12:38 fishing time: 13531 ms waiting time: 8423 ms getLegendFish: undefined full: undefined
76 2023-04-12 16:12:48 fishing time: 10250 ms waiting time: 5141 ms getLegendFish: undefined full: undefined
77 2023-04-12 16:13:02 fishing time: 13869 ms waiting time: 8758 ms getLegendFish: undefined full: undefined
78 2023-04-12 16:13:14 fishing time: 12197 ms waiting time: 7089 ms getLegendFish: undefined full: undefined
79 2023-04-12 16:13:25 fishing time: 10385 ms waiting time: 5273 ms getLegendFish: undefined full: undefined
80 2023-04-12 16:13:38 fishing time: 13615 ms waiting time: 8506 ms getLegendFish: undefined full: undefined
81 2023-04-12 16:13:51 fishing time: 12297 ms waiting time: 7190 ms getLegendFish: undefined full: undefined
=============> 2023-04-12 17:03:43 weatherCode = 1 placeCode = 4 rod grade = 2 <=============
0 2023-04-12 17:03:54 fishing time: 10984 ms waiting time: 5863 ms getLegendFish: undefined full: undefined
1 2023-04-12 17:04:14 fishing time: 20132 ms waiting time: 15012 ms getLegendFish: undefined full: undefined
2 2023-04-12 17:04:28 fishing time: 14350 ms waiting time: 9229 ms getLegendFish: undefined full: undefined
3 2023-04-12 17:04:43 fishing time: 14438 ms waiting time: 9326 ms getLegendFish: undefined full: undefined
4 2023-04-12 17:04:54 fishing time: 10902 ms waiting time: 5791 ms getLegendFish: undefined full: undefined
5 2023-04-12 17:05:06 fishing time: 12345 ms waiting time: 7235 ms getLegendFish: undefined full: undefined
6 2023-04-12 17:05:17 fishing time: 11049 ms waiting time: 5938 ms getLegendFish: undefined full: undefined
7 2023-04-12 17:05:28 fishing time: 10733 ms waiting time: 5624 ms getLegendFish: undefined full: undefined
8 2023-04-12 17:05:43 fishing time: 15232 ms waiting time: 10122 ms getLegendFish: undefined full: undefined
9 2023-04-12 17:05:54 fishing time: 11249 ms waiting time: 6137 ms getLegendFish: undefined full: undefined
10 2023-04-12 17:06:06 fishing time: 11868 ms waiting time: 6756 ms getLegendFish: undefined full: undefined
11 2023-04-12 17:06:20 fishing time: 13592 ms waiting time: 8471 ms getLegendFish: undefined full: undefined
12 2023-04-12 17:06:30 fishing time: 10146 ms waiting time: 5011 ms getLegendFish: undefined full: undefined
13 2023-04-12 17:06:44 fishing time: 14208 ms waiting time: 9098 ms getLegendFish: undefined full: undefined
14 2023-04-12 17:06:56 fishing time: 11749 ms waiting time: 6639 ms getLegendFish: undefined full: undefined
15 2023-04-12 17:07:08 fishing time: 12516 ms waiting time: 7406 ms getLegendFish: undefined full: undefined
16 2023-04-12 17:07:24 fishing time: 15226 ms waiting time: 10106 ms getLegendFish: undefined full: undefined
17 2023-04-12 17:07:37 fishing time: 13004 ms waiting time: 7895 ms getLegendFish: undefined full: undefined
18 2023-04-12 17:07:49 fishing time: 12199 ms waiting time: 7090 ms getLegendFish: undefined full: undefined
19 2023-04-12 17:08:02 fishing time: 13284 ms waiting time: 8174 ms getLegendFish: undefined full: undefined
20 2023-04-12 17:08:14 fishing time: 12032 ms waiting time: 6923 ms getLegendFish: undefined full: undefined
21 2023-04-12 17:08:28 fishing time: 14079 ms waiting time: 8958 ms getLegendFish: undefined full: undefined
22 2023-04-12 17:08:40 fishing time: 12130 ms waiting time: 7010 ms getLegendFish: undefined full: undefined
23 2023-04-12 17:08:53 fishing time: 12702 ms waiting time: 7579 ms getLegendFish: undefined full: undefined
24 2023-04-12 17:09:05 fishing time: 11771 ms waiting time: 6660 ms getLegendFish: undefined full: undefined
25 2023-04-12 17:09:18 fishing time: 12748 ms waiting time: 7639 ms getLegendFish: undefined full: undefined
26 2023-04-12 17:09:30 fishing time: 12700 ms waiting time: 7588 ms getLegendFish: undefined full: undefined
27 2023-04-12 17:09:45 fishing time: 14379 ms waiting time: 9270 ms getLegendFish: undefined full: undefined
28 2023-04-12 17:09:56 fishing time: 11384 ms waiting time: 6274 ms getLegendFish: undefined full: undefined
29 2023-04-12 17:10:11 fishing time: 15132 ms waiting time: 10021 ms getLegendFish: undefined full: undefined
30 2023-04-12 17:10:24 fishing time: 12615 ms waiting time: 7508 ms getLegendFish: undefined full: undefined
31 2023-04-12 17:10:35 fishing time: 11002 ms waiting time: 5891 ms getLegendFish: undefined full: undefined
32 2023-04-12 17:10:50 fishing time: 14798 ms waiting time: 9688 ms getLegendFish: undefined full: undefined
33 2023-04-12 17:11:03 fishing time: 13416 ms waiting time: 8305 ms getLegendFish: undefined full: undefined
34 2023-04-12 17:11:14 fishing time: 11233 ms waiting time: 6122 ms getLegendFish: undefined full: undefined
35 2023-04-12 17:11:26 fishing time: 11562 ms waiting time: 6453 ms getLegendFish: undefined full: undefined
36 2023-04-12 17:11:38 fishing time: 12235 ms waiting time: 7124 ms getLegendFish: undefined full: undefined
37 2023-04-12 17:11:48 fishing time: 10198 ms waiting time: 5088 ms getLegendFish: undefined full: undefined
38 2023-04-12 17:12:00 fishing time: 11518 ms waiting time: 6406 ms getLegendFish: undefined full: undefined
39 2023-04-12 17:12:14 fishing time: 13897 ms waiting time: 8789 ms getLegendFish: undefined full: undefined
40 2023-04-12 17:12:25 fishing time: 10832 ms waiting time: 5723 ms getLegendFish: undefined full: undefined
41 2023-04-12 17:12:38 fishing time: 13215 ms waiting time: 8105 ms getLegendFish: undefined full: undefined
42 2023-04-12 17:12:52 fishing time: 13769 ms waiting time: 8658 ms getLegendFish: undefined full: undefined
43 2023-04-12 17:13:01 fishing time: 9379 ms waiting time: 4271 ms getLegendFish: undefined full: undefined
44 2023-04-12 17:13:15 fishing time: 13702 ms waiting time: 8591 ms getLegendFish: undefined full: undefined
45 2023-04-12 17:13:24 fishing time: 9732 ms waiting time: 4622 ms getLegendFish: undefined full: undefined
=============> 2023-04-12 17:16:59 weatherCode = 1 placeCode = 5 rod grade = 2 <=============
0 2023-04-12 17:17:11 fishing time: 12449 ms waiting time: 7329 ms getLegendFish: undefined full: undefined
1 2023-04-12 17:17:23 fishing time: 12039 ms waiting time: 6929 ms getLegendFish: undefined full: undefined
2 2023-04-12 17:17:35 fishing time: 11694 ms waiting time: 6574 ms getLegendFish: undefined full: undefined
3 2023-04-12 17:17:49 fishing time: 13819 ms waiting time: 8711 ms getLegendFish: undefined full: undefined
4 2023-04-12 17:18:01 fishing time: 11997 ms waiting time: 6876 ms getLegendFish: undefined full: undefined
5 2023-04-12 17:18:13 fishing time: 11964 ms waiting time: 6843 ms getLegendFish: undefined full: undefined
6 2023-04-12 17:18:28 fishing time: 15273 ms waiting time: 10162 ms getLegendFish: undefined full: undefined
7 2023-04-12 17:18:37 fishing time: 9217 ms waiting time: 4108 ms getLegendFish: undefined full: undefined
8 2023-04-12 17:18:51 fishing time: 14276 ms waiting time: 9156 ms getLegendFish: undefined full: undefined
9 2023-04-12 17:19:05 fishing time: 13266 ms waiting time: 8145 ms getLegendFish: undefined full: undefined
10 2023-04-12 17:19:16 fishing time: 11332 ms waiting time: 6212 ms getLegendFish: undefined full: undefined
11 2023-04-12 17:19:29 fishing time: 12723 ms waiting time: 7613 ms getLegendFish: undefined full: undefined
12 2023-04-12 17:19:43 fishing time: 14365 ms waiting time: 9255 ms getLegendFish: undefined full: undefined
13 2023-04-12 17:19:56 fishing time: 12947 ms waiting time: 7838 ms getLegendFish: undefined full: undefined
14 2023-04-12 17:20:09 fishing time: 13151 ms waiting time: 8042 ms getLegendFish: undefined full: undefined
15 2023-04-12 17:20:19 fishing time: 10032 ms waiting time: 4922 ms getLegendFish: undefined full: undefined
16 2023-04-12 17:20:32 fishing time: 12500 ms waiting time: 7390 ms getLegendFish: undefined full: undefined
17 2023-04-12 17:20:44 fishing time: 12647 ms waiting time: 7540 ms getLegendFish: undefined full: undefined
18 2023-04-12 17:20:55 fishing time: 10820 ms waiting time: 5709 ms getLegendFish: undefined full: undefined
19 2023-04-12 17:21:07 fishing time: 11882 ms waiting time: 6773 ms getLegendFish: undefined full: undefined
20 2023-04-12 17:21:18 fishing time: 10599 ms waiting time: 5489 ms getLegendFish: undefined full: undefined
21 2023-04-12 17:21:29 fishing time: 11402 ms waiting time: 6291 ms getLegendFish: undefined full: undefined
22 2023-04-12 17:21:40 fishing time: 10883 ms waiting time: 5773 ms getLegendFish: undefined full: undefined
23 2023-04-12 17:21:50 fishing time: 10049 ms waiting time: 4939 ms getLegendFish: undefined full: undefined
24 2023-04-12 17:22:00 fishing time: 10331 ms waiting time: 5223 ms getLegendFish: undefined full: undefined
25 2023-04-12 17:22:12 fishing time: 11585 ms waiting time: 6474 ms getLegendFish: undefined full: undefined
26 2023-04-12 17:22:25 fishing time: 12799 ms waiting time: 7689 ms getLegendFish: undefined full: undefined
27 2023-04-12 17:22:36 fishing time: 11147 ms waiting time: 6038 ms getLegendFish: undefined full: undefined
28 2023-04-12 17:22:49 fishing time: 13217 ms waiting time: 8106 ms getLegendFish: undefined full: undefined
29 2023-04-12 17:23:03 fishing time: 13884 ms waiting time: 8772 ms getLegendFish: undefined full: undefined
30 2023-04-12 17:23:14 fishing time: 11014 ms waiting time: 5905 ms getLegendFish: undefined full: undefined
31 2023-04-12 17:23:23 fishing time: 9233 ms waiting time: 4121 ms getLegendFish: undefined full: undefined
32 2023-04-12 17:23:35 fishing time: 11864 ms waiting time: 6756 ms getLegendFish: undefined full: undefined
33 2023-04-12 17:23:46 fishing time: 10634 ms waiting time: 5525 ms getLegendFish: undefined full: undefined
34 2023-04-12 17:23:58 fishing time: 12548 ms waiting time: 7439 ms getLegendFish: undefined full: undefined
35 2023-04-12 17:24:11 fishing time: 12719 ms waiting time: 7607 ms getLegendFish: undefined full: undefined
36 2023-04-12 17:24:21 fishing time: 10047 ms waiting time: 4939 ms getLegendFish: undefined full: undefined
37 2023-04-12 17:24:35 fishing time: 13716 ms waiting time: 8607 ms getLegendFish: undefined full: undefined
38 2023-04-12 17:24:47 fishing time: 12032 ms waiting time: 6924 ms getLegendFish: undefined full: undefined
39 2023-04-12 17:24:59 fishing time: 12050 ms waiting time: 6941 ms getLegendFish: undefined full: undefined
40 2023-04-12 17:25:12 fishing time: 12917 ms waiting time: 7807 ms getLegendFish: undefined full: undefined
41 2023-04-12 17:25:22 fishing time: 10117 ms waiting time: 5007 ms getLegendFish: undefined full: undefined
42 2023-04-12 17:25:34 fishing time: 12598 ms waiting time: 7490 ms getLegendFish: undefined full: undefined
43 2023-04-12 17:25:48 fishing time: 13902 ms waiting time: 8793 ms getLegendFish: undefined full: undefined
44 2023-04-12 17:26:01 fishing time: 12898 ms waiting time: 7788 ms getLegendFish: undefined full: undefined
45 2023-04-12 17:26:12 fishing time: 10849 ms waiting time: 5741 ms getLegendFish: undefined full: undefined
46 2023-04-12 17:26:24 fishing time: 12228 ms waiting time: 7107 ms getLegendFish: undefined full: undefined
47 2023-04-12 17:26:39 fishing time: 14449 ms waiting time: 9327 ms getLegendFish: undefined full: undefined
48 2023-04-12 17:26:51 fishing time: 12239 ms waiting time: 7129 ms getLegendFish: undefined full: undefined
49 2023-04-12 17:27:01 fishing time: 9707 ms waiting time: 4587 ms getLegendFish: undefined full: undefined
50 2023-04-12 17:27:12 fishing time: 11240 ms waiting time: 6129 ms getLegendFish: undefined full: undefined
51 2023-04-12 17:27:25 fishing time: 12982 ms waiting time: 7872 ms getLegendFish: undefined full: undefined
52 2023-04-12 17:27:38 fishing time: 13281 ms waiting time: 8173 ms getLegendFish: undefined full: undefined
53 2023-04-12 17:27:51 fishing time: 12799 ms waiting time: 7690 ms getLegendFish: undefined full: undefined
54 2023-04-12 17:28:04 fishing time: 12479 ms waiting time: 7358 ms getLegendFish: undefined full: undefined
55 2023-04-12 17:28:15 fishing time: 11071 ms waiting time: 5961 ms getLegendFish: undefined full: undefined
56 2023-04-12 17:28:27 fishing time: 12568 ms waiting time: 7458 ms getLegendFish: undefined full: undefined
57 2023-04-12 17:28:42 fishing time: 15064 ms waiting time: 9956 ms getLegendFish: undefined full: undefined
58 2023-04-12 18:10:20 fishing time: 2498142 ms waiting time: 2493022 ms getLegendFish: undefined full: undefined
59 2023-04-12 18:11:02 fishing time: 41750 ms waiting time: 36629 ms getLegendFish: undefined full: undefined
60 2023-04-12 18:11:16 fishing time: 14249 ms waiting time: 9129 ms getLegendFish: undefined full: undefined
61 2023-04-12 18:16:31 fishing time: 314968 ms waiting time: 309845 ms getLegendFish: undefined full: undefined
62 2023-04-12 18:16:41 fishing time: 9916 ms waiting time: 4794 ms getLegendFish: undefined full: undefined
63 2023-04-12 18:16:53 fishing time: 11619 ms waiting time: 6509 ms getLegendFish: undefined full: undefined
64 2023-04-12 18:17:05 fishing time: 11863 ms waiting time: 6741 ms getLegendFish: undefined full: undefined
65 2023-04-12 18:17:16 fishing time: 10900 ms waiting time: 5778 ms getLegendFish: undefined full: undefined
66 2023-04-12 18:17:29 fishing time: 13370 ms waiting time: 8260 ms getLegendFish: undefined full: undefined
67 2023-04-12 18:17:43 fishing time: 13799 ms waiting time: 8688 ms getLegendFish: undefined full: undefined
68 2023-04-12 18:17:56 fishing time: 13103 ms waiting time: 7993 ms getLegendFish: undefined full: undefined
69 2023-04-12 18:18:08 fishing time: 11864 ms waiting time: 6753 ms getLegendFish: undefined full: undefined
70 2023-04-12 18:18:20 fishing time: 12067 ms waiting time: 6956 ms getLegendFish: undefined full: undefined
71 2023-04-12 18:18:35 fishing time: 15564 ms waiting time: 10455 ms getLegendFish: undefined full: undefined
72 2023-04-12 18:18:48 fishing time: 12300 ms waiting time: 7191 ms getLegendFish: undefined full: undefined
73 2023-04-12 18:19:00 fishing time: 12044 ms waiting time: 6924 ms getLegendFish: undefined full: undefined
74 2023-04-12 18:19:11 fishing time: 11671 ms waiting time: 6563 ms getLegendFish: undefined full: undefined
